channel_name,first_touch_revenue,last_touch_revenue,linear_revenue,u_shaped_revenue,time_decay_revenue,position_based_revenue
Direct,2695.72,2695.72,2695.72,2695.72,2695.72,2695.72
Direct,3102.13,3102.13,3102.13,3102.13,3102.13,3102.13
Email,1509.85,0.0,754.925,754.925,680.4149208992978,754.925
Email,2746.34,2746.34,2746.34,2746.34,2746.34,2746.34
Email,3665.02,3665.02,3665.02,3665.02,3665.02,3665.02
Organic Search,4550.63,4550.63,4550.63,4550.63,4550.63,4550.63
Paid Search,0.0,2155.39,1077.695,1077.695,1528.4636243053662,1077.695
Paid Search,897.28,897.28,897.28,897.28,897.28,897.28
Paid Search,979.42,0.0,489.71,489.71,211.86292845872532,489.71
Paid Search,1009.23,1009.23,1009.23,1009.23,1009.23,1009.23
Paid Search,1099.55,1099.55,1099.55,1099.55,1099.55,1099.55
Paid Search,1765.88,1765.88,1765.88,1765.88,1765.88,1765.88
Paid Search,1982.73,1982.73,1982.73,1982.73,1982.73,1982.73
Paid Search,2128.48,2128.48,2128.48,2128.48,2128.48,2128.48
Paid Search,2550.7,2550.7,2550.7,2550.7,2550.7,2550.7
Paid Search,2794.32,2794.32,2794.32,2794.32,2794.32,2794.32
Paid Search,2893.52,4403.37,3648.4449999999997,3648.4449999999997,3722.955079100702,3648.4449999999997
Paid Search,2968.54,2968.54,2968.54,2968.54,2968.54,2968.54
Paid Search,3126.34,3126.34,3126.34,3126.34,3126.34,3126.34
Paid Search,3195.34,3195.34,3195.34,3195.34,3195.34,3195.34
Paid Search,3482.63,3482.63,3482.63,3482.63,3482.63,3482.63
Paid Search,3578.13,3578.13,3578.13,3578.13,3578.13,3578.13
Paid Search,4056.38,4056.38,4056.38,4056.38,4056.38,4056.38
Paid Search,4582.48,4582.48,4582.48,4582.48,4582.48,4582.48
Paid Search,5480.87,5480.87,5480.87,5480.87,5480.87,5480.87
Paid Search,8496.51,13134.61,10815.560000000001,10815.560000000001,11268.917862143082,10815.560000000001
Paid Search,9034.060000000001,10013.48,9523.77,9523.77,9801.617071541275,9523.77
Paid Search,9911.49,9911.49,9911.49,9911.49,9911.49,9911.49
Paid Search,10777.32,10777.32,10777.32,10777.32,10777.32,10777.32
Paid Search,16087.220000000001,16087.220000000001,16087.22,16087.22,16087.220000000001,16087.22
Paid Search,16415.09,12027.42,14221.255000000001,14221.255000000001,13588.064567471787,14221.255000000001
Paid Social,0.0,3363.78,1681.89,1681.89,2315.2786628470612,1681.89
Paid Social,973.93,973.93,973.93,973.93,973.93,973.93
Paid Social,1126.53,1126.53,1126.53,1126.53,1126.53,1126.53
Paid Social,1350.46,1350.46,1350.46,1350.46,1350.46,1350.46
Paid Social,1885.98,1885.98,1885.98,1885.98,1885.98,1885.98
Paid Social,2432.81,2432.81,2432.81,2432.81,2432.81,2432.81
Paid Social,2493.68,2493.68,2493.68,2493.68,2493.68,2493.68
Paid Social,3294.46,3294.46,3294.46,3294.46,3294.46,3294.46
Paid Social,4738.71,4738.71,4738.71,4738.71,4738.71,4738.71
Paid Social,5830.19,5830.1900000000005,5830.19,5830.1900000000005,5830.1900000000005,5830.19
Paid Social,7637.23,7637.23,7637.23,7637.23,7637.23,7637.23
Paid Social,9186.58,9186.58,9186.58,9186.58,9186.58,9186.58
Paid Social,9211.57,7056.18,8133.875,8133.875,7683.106375694634,8133.875
Paid Social,10837.44,6199.34,8518.39,8518.39,8065.032137856917,8518.39
Paid Social,11467.649999999998,11467.649999999998,11467.65,11467.65,11467.649999999998,11467.65
Paid Social,12250.230000000001,8886.45,10568.34,10568.34,9934.95133715294,10568.34
Referral,0.0,4387.67,2193.835,2193.835,2827.025432528213,2193.835
Referral,422.66,422.66,422.66,422.66,422.66,422.66
