scenario_name,channel,simulation_status,total_budget,channel_allocation,channel_budget,cpc_assumption,conversion_assumption,aov_assumption,projected_clicks,projected_sessions,projected_conversions,projected_customers,projected_revenue,projected_cac,projected_roas,target_roas,target_cac,roas_target_variance,cac_target_variance,growth_assumption,methodology
Baseline,direct,SIMULATED,11437368.84,0.0,0.0,1.8127,9.5e-05,3446.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
Baseline,email,SIMULATED,11437368.84,0.0,0.0,1.8127,9.5e-05,3446.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
Baseline,organic,SIMULATED,11437368.84,0.0,0.0,1.8127,9.5e-05,3446.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
Baseline,paid_search,SIMULATED,11437368.84,0.29238446156467574,3344108.93,1.8127,9.5e-05,3446.75,1844861.16,1660375.04,157.89,157.89,544199.71,21180.31,0.1627,2.0,250.0,-1.8373,20930.31,0.05,deterministic_budget_funnel_simulation
Baseline,paid_social,SIMULATED,11437368.84,0.7076155384353243,8093259.91,1.8127,9.5e-05,3446.75,4464848.84,4018363.96,382.11,382.11,1317047.32,21180.31,0.1627,2.0,250.0,-1.8373,20930.31,0.05,deterministic_budget_funnel_simulation
Baseline,referral,SIMULATED,11437368.84,0.0,0.0,1.8127,9.5e-05,3446.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
Baseline,unknown,SIMULATED,11437368.84,0.0,0.0,1.8127,9.5e-05,3446.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
Conservative,direct,SIMULATED,10293631.96,0.0,0.0,1.9033,8.6e-05,3274.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
Conservative,email,SIMULATED,10293631.96,0.0,0.0,1.9033,8.6e-05,3274.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
Conservative,organic,SIMULATED,10293631.96,0.0,0.0,1.9033,8.6e-05,3274.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,250.0,-2.0,-250.0,0.05,deterministic_budget_funnel_simulation
