campaign_id,data_quality_status
CMP-000004,PASS
CMP-000007,PASS
CMP-000010,PASS
CMP-000013,PASS
CMP-000015,PASS
CMP-000016,PASS
CMP-000023,PASS
CMP-000024,PASS
CMP-000030,PASS
CMP-000031,PASS
CMP-000042,PASS
CMP-000047,PASS
CMP-000048,PASS
CMP-000052,PASS
CMP-000056,PASS
CMP-000057,PASS
CMP-000058,PASS
CMP-000060,PASS
CMP-000061,PASS
CMP-000062,PASS
CMP-000066,PASS
CMP-000068,PASS
CMP-000069,PASS
CMP-000071,PASS
CMP-000072,PASS
CMP-000073,PASS
CMP-000074,PASS
CMP-000075,PASS
CMP-000080,PASS
,HOLD
