target_month,region,channel_name,budget_owner,target_spend,actual_spend,spend_attainment,target_revenue,actual_revenue,revenue_variance,revenue_attainment,target_leads,actual_leads,lead_attainment,target_conversions,actual_platform_conversions,conversion_attainment
2025-01-01,APAC,Direct,finance,20352.54,0.00,0.0,334979.44,0.0,-334979.44,0.0,3255,31,0.009523809523809525,2416,0,0.0
2025-01-01,APAC,Direct,finance,387962.72,0.00,0.0,878229.04,0.0,-878229.04,0.0,9823,31,0.0031558586989718007,1021,0,0.0
2025-01-01,APAC,Direct,finance,308796.14,0.00,0.0,571695.51,0.0,-571695.51,0.0,3225,31,0.009612403100775194,2203,0,0.0
2025-01-01,APAC,Direct,growth,85979.46,0.00,0.0,1110495.37,0.0,-1110495.37,0.0,14943,31,0.0020745499565013718,629,0,0.0
2025-01-01,APAC,Direct,growth,97718.54,0.00,0.0,1069175.31,0.0,-1069175.31,0.0,12475,31,0.0024849699398797596,1762,0,0.0
2025-01-01,APAC,Direct,growth,402466.88,0.00,0.0,935401.37,0.0,-935401.37,0.0,1090,31,0.028440366972477066,1581,0,0.0
2025-01-01,APAC,Email,finance,163456.02,0.00,0.0,111186.38,0.0,-111186.38,0.0,8618,45,0.005221629148294268,289,0,0.0
2025-01-01,APAC,Email,finance,22735.61,0.00,0.0,478764.82,0.0,-478764.82,0.0,11429,45,0.003937352349286901,530,0,0.0
2025-01-01,APAC,Email,growth,61924.28,0.00,0.0,513998.91,0.0,-513998.91,0.0,12505,45,0.003598560575769692,592,0,0.0
2025-01-01,APAC,Email,regional_marketing,380343.38,0.00,0.0,173310.54,0.0,-173310.54,0.0,9920,45,0.0045362903225806455,619,0,0.0
2025-01-01,APAC,Email,regional_marketing,36140.10,0.00,0.0,1124118.73,0.0,-1124118.73,0.0,10008,45,0.0044964028776978415,1375,0,0.0
2025-01-01,APAC,Email,regional_marketing,125408.82,0.00,0.0,461795.92,0.0,-461795.92,0.0,3941,45,0.011418421720375539,1703,0,0.0
2025-01-01,APAC,Organic Search,finance,99229.63,0.00,0.0,162309.10,0.0,-162309.1,0.0,10391,41,0.0039457222596477725,1268,0,0.0
2025-01-01,APAC,Organic Search,finance,357528.20,0.00,0.0,597903.64,0.0,-597903.64,0.0,1739,41,0.023576768257619323,816,0,0.0
2025-01-01,APAC,Organic Search,finance,419073.96,0.00,0.0,166449.97,0.0,-166449.97,0.0,12895,41,0.0031795269484296237,2170,0,0.0
2025-01-01,APAC,Organic Search,growth,280098.30,0.00,0.0,301870.24,0.0,-301870.24,0.0,2973,41,0.013790783720148,2446,0,0.0
