model,layer,field_name,business_definition,recommended_visibility
dim_campaign,warehouse,campaign_hash,Field `campaign_hash` from the modeled analytics layer.,show
dim_campaign,warehouse,campaign_id,Field `campaign_id` from the modeled analytics layer.,show
dim_campaign,warehouse,campaign_key,Field `campaign_key` from the modeled analytics layer.,hide
dim_campaign,warehouse,canonical_campaign_name,Field `canonical_campaign_name` from the modeled analytics layer.,show
dim_campaign,warehouse,canonical_channel,Field `canonical_channel` from the modeled analytics layer.,show
dim_campaign,warehouse,first_seen_date,Field `first_seen_date` from the modeled analytics layer.,show
dim_campaign,warehouse,is_current,Field `is_current` from the modeled analytics layer.,show
dim_campaign,warehouse,mapping_rank,Field `mapping_rank` from the modeled analytics layer.,show
dim_campaign,warehouse,name_rank,Field `name_rank` from the modeled analytics layer.,show
dim_campaign,warehouse,owner_team,Field `owner_team` from the modeled analytics layer.,show
dim_campaign,warehouse,r,Field `r` from the modeled analytics layer.,show
dim_campaign,warehouse,valid_from,Field `valid_from` from the modeled analytics layer.,show
dim_channel,warehouse,channel_group,Field `channel_group` from the modeled analytics layer.,show
dim_channel,warehouse,channel_key,Field `channel_key` from the modeled analytics layer.,hide
dim_channel,warehouse,channel_name,Field `channel_name` from the modeled analytics layer.,show
dim_channel,warehouse,paid_flag,Field `paid_flag` from the modeled analytics layer.,show
dim_customer,warehouse,acquisition_channel,Field `acquisition_channel` from the modeled analytics layer.,show
dim_customer,warehouse,customer_hash,Field `customer_hash` from the modeled analytics layer.,show
dim_customer,warehouse,customer_id,Field `customer_id` from the modeled analytics layer.,show
dim_customer,warehouse,customer_key,Field `customer_key` from the modeled analytics layer.,hide
dim_customer,warehouse,customer_segment,Field `customer_segment` from the modeled analytics layer.,show
dim_customer,warehouse,first_conversion_date,Field `first_conversion_date` from the modeled analytics layer.,show
dim_customer,warehouse,first_lead_date,Field `first_lead_date` from the modeled analytics layer.,show
dim_customer,warehouse,is_current,Field `is_current` from the modeled analytics layer.,show
dim_customer,warehouse,lifetime_value,Field `lifetime_value` from the modeled analytics layer.,show
dim_customer,warehouse,valid_from,Field `valid_from` from the modeled analytics layer.,show
dim_customer,warehouse,valid_to,Field `valid_to` from the modeled analytics layer.,show
dim_date,warehouse,cast,Field `cast` from the modeled analytics layer.,show
dim_date,warehouse,date,Field `date` from the modeled analytics layer.,show
dim_date,warehouse,date_actual,Field `date_actual` from the modeled analytics layer.,show
dim_date,warehouse,date_key,Field `date_key` from the modeled analytics layer.,hide
dim_date,warehouse,day_of_week,Field `day_of_week` from the modeled analytics layer.,show
dim_date,warehouse,generate_series,Field `generate_series` from the modeled analytics layer.,show
dim_date,warehouse,integer,Field `integer` from the modeled analytics layer.,show
dim_date,warehouse,is_weekend,Field `is_weekend` from the modeled analytics layer.,show
dim_date,warehouse,max_date,Field `max_date` from the modeled analytics layer.,show
dim_date,warehouse,min,Field `min` from the modeled analytics layer.,show
dim_date,warehouse,min_date,Field `min_date` from the modeled analytics layer.,show
dim_date,warehouse,month_name,Field `month_name` from the modeled analytics layer.,show
dim_date,warehouse,month_start_date,Field `month_start_date` from the modeled analytics layer.,show
dim_date,warehouse,quarter_number,Field `quarter_number` from the modeled analytics layer.,show
dim_date,warehouse,spine,Field `spine` from the modeled analytics layer.,show
dim_date,warehouse,week_start_date,Field `week_start_date` from the modeled analytics layer.,show
dim_date,warehouse,year_number,Field `year_number` from the modeled analytics layer.,show
dim_device,warehouse,device,Field `device` from the modeled analytics layer.,show
dim_product,warehouse,distinct,Field `distinct` from the modeled analytics layer.,show
dim_product,warehouse,product_family,Field `product_family` from the modeled analytics layer.,show
dim_product,warehouse,product_key,Field `product_key` from the modeled analytics layer.,hide
dim_product,warehouse,product_name,Field `product_name` from the modeled analytics layer.,show
dim_region,warehouse,country,Field `country` from the modeled analytics layer.,show
dim_region,warehouse,region,Field `region` from the modeled analytics layer.,show
dim_region,warehouse,region_key,Field `region_key` from the modeled analytics layer.,hide
dim_region,warehouse,regions,Field `regions` from the modeled analytics layer.,show
dim_region,warehouse,sales_territory,Field `sales_territory` from the modeled analytics layer.,show
dim_sales_rep,warehouse,active_flag,Field `active_flag` from the modeled analytics layer.,show
dim_sales_rep,warehouse,distinct,Field `distinct` from the modeled analytics layer.,show
dim_sales_rep,warehouse,rep_id,Field `rep_id` from the modeled analytics layer.,show
dim_sales_rep,warehouse,sales_rep_key,Field `sales_rep_key` from the modeled analytics layer.,hide
dim_sales_rep,warehouse,sales_team,Field `sales_team` from the modeled analytics layer.,show
dim_source_system,warehouse,business_owner,Field `business_owner` from the modeled analytics layer.,show
dim_source_system,warehouse,ingestion_method,Field `ingestion_method` from the modeled analytics layer.,show
dim_source_system,warehouse,source_system_key,Field `source_system_key` from the modeled analytics layer.,hide
dim_source_system,warehouse,source_system_name,Field `source_system_name` from the modeled analytics layer.,show
fact_attribution,warehouse,attributed_revenue,Field `attributed_revenue` from the modeled analytics layer.,show
fact_attribution,warehouse,attribution_model,Field `attribution_model` from the modeled analytics layer.,show
fact_attribution,warehouse,attribution_weight,Field `attribution_weight` from the modeled analytics layer.,show
fact_attribution,warehouse,fact_attribution_key,Field `fact_attribution_key` from the modeled analytics layer.,hide
fact_campaign_performance,warehouse,attributed_revenue,Field `attributed_revenue` from the modeled analytics layer.,show
fact_campaign_performance,warehouse,campaign_id,Field `campaign_id` from the modeled analytics layer.,show
fact_campaign_performance,warehouse,coalesce,Field `coalesce` from the modeled analytics layer.,show
fact_campaign_performance,warehouse,conversions,Field `conversions` from the modeled analytics layer.,show
fact_campaign_performance,warehouse,fact_campaign_performance_key,Field `fact_campaign_performance_key` from the modeled analytics layer.,hide
fact_campaign_performance,warehouse,impressions,Field `impressions` from the modeled analytics layer.,show
fact_campaign_performance,warehouse,load_batch_id,Field `load_batch_id` from the modeled analytics layer.,show
fact_campaign_performance,warehouse,revenue,Field `revenue` from the modeled analytics layer.,show
fact_campaign_performance,warehouse,target,Field `target` from the modeled analytics layer.,show
fact_conversions,warehouse,c,Field `c` from the modeled analytics layer.,show
fact_conversions,warehouse,coalesce,Field `coalesce` from the modeled analytics layer.,show
fact_conversions,warehouse,load_batch_id,Field `load_batch_id` from the modeled analytics layer.,show
fact_conversions,warehouse,target,Field `target` from the modeled analytics layer.,show
fact_leads,warehouse,coalesce,Field `coalesce` from the modeled analytics layer.,show
fact_leads,warehouse,l,Field `l` from the modeled analytics layer.,show
fact_leads,warehouse,load_batch_id,Field `load_batch_id` from the modeled analytics layer.,show
fact_leads,warehouse,target,Field `target` from the modeled analytics layer.,show
fact_revenue,warehouse,fact_revenue_key,Field `fact_revenue_key` from the modeled analytics layer.,hide
fact_revenue,warehouse,load_batch_id,Field `load_batch_id` from the modeled analytics layer.,show
fact_revenue,warehouse,revenue,Field `revenue` from the modeled analytics layer.,show
fact_revenue,warehouse,revenue_date,Field `revenue_date` from the modeled analytics layer.,show
fact_revenue,warehouse,source_system_key,Field `source_system_key` from the modeled analytics layer.,hide
fact_sessions,warehouse,coalesce,Field `coalesce` from the modeled analytics layer.,show
fact_sessions,warehouse,load_batch_id,Field `load_batch_id` from the modeled analytics layer.,show
fact_sessions,warehouse,s,Field `s` from the modeled analytics layer.,show
fact_sessions,warehouse,target,Field `target` from the modeled analytics layer.,show
fact_targets,warehouse,fact_target_key,Field `fact_target_key` from the modeled analytics layer.,hide
fact_targets,warehouse,load_batch_id,Field `load_batch_id` from the modeled analytics layer.,show
metricflow_time_spine,warehouse,date_actual,Field `date_actual` from the modeled analytics layer.,show
metricflow_time_spine,warehouse,date_day,Field `date_day` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,attributed_revenue,Field `attributed_revenue` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,date_trunc,Field `date_trunc` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,first_touch_revenue,Field `first_touch_revenue` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,last_touch_revenue,Field `last_touch_revenue` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,last_vs_first_revenue_delta,Field `last_vs_first_revenue_delta` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,linear_revenue,Field `linear_revenue` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,linear_weighted_conversions,Field `linear_weighted_conversions` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,position_based_revenue,Field `position_based_revenue` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,reporting_month,Field `reporting_month` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,time_decay_revenue,Field `time_decay_revenue` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,time_decay_vs_linear_revenue_delta,Field `time_decay_vs_linear_revenue_delta` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,u_shaped_revenue,Field `u_shaped_revenue` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,u_shaped_vs_linear_revenue_delta,Field `u_shaped_vs_linear_revenue_delta` from the modeled analytics layer.,show
mart_attribution_model_comparison,reporting,weighted_conversions,Field `weighted_conversions` from the modeled analytics layer.,show
mart_attribution_summary,reporting,attributed_conversions,Field `attributed_conversions` from the modeled analytics layer.,show
mart_attribution_summary,reporting,attributed_revenue,Field `attributed_revenue` from the modeled analytics layer.,show
mart_attribution_summary,reporting,avg_touchpoint_weight,Field `avg_touchpoint_weight` from the modeled analytics layer.,show
mart_attribution_summary,reporting,date_trunc,Field `date_trunc` from the modeled analytics layer.,show
mart_attribution_summary,reporting,reporting_month,Field `reporting_month` from the modeled analytics layer.,show
mart_attribution_summary,reporting,weighted_conversions,Field `weighted_conversions` from the modeled analytics layer.,show
mart_budget_efficiency,reporting,budget_recommendation,Field `budget_recommendation` from the modeled analytics layer.,show
mart_budget_efficiency,reporting,contribution_after_marketing,Field `contribution_after_marketing` from the modeled analytics layer.,show
mart_budget_efficiency,reporting,reporting_month,Field `reporting_month` from the modeled analytics layer.,show
mart_campaign_action_center,reporting,action_priority,Field `action_priority` from the modeled analytics layer.,show
mart_campaign_action_center,reporting,action_reason,Field `action_reason` from the modeled analytics layer.,show
mart_campaign_action_center,reporting,c,Field `c` from the modeled analytics layer.,show
mart_campaign_action_center,reporting,campaign_name,Field `campaign_name` from the modeled analytics layer.,show
mart_campaign_action_center,reporting,channel,Field `channel` from the modeled analytics layer.,show
mart_campaign_action_center,reporting,current_cac,Field `current_cac` from the modeled analytics layer.,show
mart_campaign_action_center,reporting,current_roas,Field `current_roas` from the modeled analytics layer.,show
