upstream,downstream,edge_type
int_campaign_spend_unified,int_attribution_touchpoints,model_ref
stg_sales_conversions,int_attribution_touchpoints,model_ref
stg_website_analytics,int_attribution_touchpoints,model_ref
int_campaign_spend_unified,int_campaign_daily,model_ref
stg_facebook_ads,int_campaign_spend_unified,model_ref
stg_google_ads,int_campaign_spend_unified,model_ref
stg_region_mapping,int_campaign_spend_unified,model_ref
stg_tiktok_ads,int_campaign_spend_unified,model_ref
stg_crm_leads,int_customer_journey,model_ref
stg_sales_conversions,int_customer_journey,model_ref
stg_website_analytics,int_customer_journey,model_ref
stg_ga4_live_events,int_ga4_live_sessions,model_ref
stg_ga4_events,int_ga4_sessions,model_ref
int_campaign_spend_unified,dim_campaign,model_ref
stg_campaign_mapping,dim_campaign,model_ref
stg_website_analytics,dim_campaign,model_ref
stg_crm_leads,dim_customer,model_ref
stg_sales_conversions,dim_customer,model_ref
int_campaign_daily,dim_date,model_ref
stg_crm_leads,dim_date,model_ref
stg_sales_conversions,dim_date,model_ref
stg_website_analytics,dim_date,model_ref
stg_sales_conversions,dim_product,model_ref
stg_region_mapping,dim_region,model_ref
stg_crm_leads,dim_sales_rep,model_ref
dim_campaign,fact_attribution,model_ref
dim_channel,fact_attribution,model_ref
dim_customer,fact_attribution,model_ref
int_attribution_touchpoints,fact_attribution,model_ref
dim_campaign,fact_campaign_performance,model_ref
dim_channel,fact_campaign_performance,model_ref
dim_region,fact_campaign_performance,model_ref
dim_source_system,fact_campaign_performance,model_ref
int_attribution_touchpoints,fact_campaign_performance,model_ref
int_campaign_daily,fact_campaign_performance,model_ref
dim_campaign,fact_conversions,model_ref
dim_customer,fact_conversions,model_ref
dim_product,fact_conversions,model_ref
stg_sales_conversions,fact_conversions,model_ref
dim_campaign,fact_leads,model_ref
dim_channel,fact_leads,model_ref
dim_customer,fact_leads,model_ref
dim_region,fact_leads,model_ref
dim_sales_rep,fact_leads,model_ref
stg_crm_leads,fact_leads,model_ref
dim_campaign,fact_revenue,model_ref
dim_customer,fact_revenue,model_ref
dim_product,fact_revenue,model_ref
stg_sales_conversions,fact_revenue,model_ref
dim_campaign,fact_sessions,model_ref
dim_channel,fact_sessions,model_ref
dim_device,fact_sessions,model_ref
dim_region,fact_sessions,model_ref
stg_website_analytics,fact_sessions,model_ref
dim_channel,fact_targets,model_ref
dim_region,fact_targets,model_ref
stg_marketing_targets,fact_targets,model_ref
dim_date,metricflow_time_spine,model_ref
dim_campaign,mart_attribution_model_comparison,model_ref
dim_channel,mart_attribution_model_comparison,model_ref
fact_attribution,mart_attribution_model_comparison,model_ref
dim_campaign,mart_attribution_summary,model_ref
dim_channel,mart_attribution_summary,model_ref
fact_attribution,mart_attribution_summary,model_ref
mart_channel_performance,mart_budget_efficiency,model_ref
mart_campaign_performance,mart_campaign_action_center,model_ref
mart_target_vs_actual,mart_campaign_action_center,model_ref
dim_campaign,mart_campaign_performance,model_ref
fact_campaign_performance,mart_campaign_performance,model_ref
dim_campaign,mart_channel_performance,model_ref
dim_channel,mart_channel_performance,model_ref
fact_campaign_performance,mart_channel_performance,model_ref
fact_conversions,mart_channel_performance,model_ref
fact_leads,mart_channel_performance,model_ref
dim_campaign,mart_customer_value,model_ref
dim_customer,mart_customer_value,model_ref
fact_campaign_performance,mart_customer_value,model_ref
fact_revenue,mart_customer_value,model_ref
ops.ingestion_logs,mart_data_quality_monitoring,source
ops.validation_results,mart_data_quality_monitoring,source
dim_campaign,mart_funnel_performance,model_ref
dim_channel,mart_funnel_performance,model_ref
fact_conversions,mart_funnel_performance,model_ref
fact_leads,mart_funnel_performance,model_ref
stg_ga4_events,mart_ga4_funnel,model_ref
int_ga4_live_sessions,mart_ga4_live_funnel,model_ref
mart_channel_performance,mart_marketing_variance_drivers,model_ref
dim_channel,mart_target_vs_actual,model_ref
dim_region,mart_target_vs_actual,model_ref
fact_campaign_performance,mart_target_vs_actual,model_ref
fact_leads,mart_target_vs_actual,model_ref
fact_targets,mart_target_vs_actual,model_ref
raw.campaign_mapping,stg_campaign_mapping,source
raw.crm_leads,stg_crm_leads,source
raw.facebook_ads,stg_facebook_ads,source
raw.ga4_events,stg_ga4_events,source
ga4_live_export.events,stg_ga4_live_ecommerce_items,source
ga4_live_export.events,stg_ga4_live_events,source
raw.google_ads,stg_google_ads,source
raw.marketing_targets,stg_marketing_targets,source
raw.region_mapping,stg_region_mapping,source
raw.sales_conversions,stg_sales_conversions,source
raw.tiktok_ads,stg_tiktok_ads,source
raw.website_analytics,stg_website_analytics,source
