reporting_month,campaign_id,campaign_name,channel,spend,attributed_revenue,current_roas,current_cac,target_roas,target_cac,performance_status,action_priority,recommended_action,action_reason,supporting_metric,data_quality_status,metric_to_monitor,generated_at
2025-01-01,CMP-000003,Retargeting 2024,email,104587.51,8630.29,0.0825174057590624,70.57186909581647,2.6782831949664487,166.22991570040742,BELOW_TARGET,P1,REDUCE,ROAS materially trails the governed channel target.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000039,Cart Recovery 2024,email,262212.56,0.0,0.0,103.23329133858267,2.6782831949664487,166.22991570040742,BELOW_TARGET,P1,REDUCE,ROAS materially trails the governed channel target.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000030,Regional Expansion 2025,email,6778.13,0.0,0.0,616.1936363636364,2.6782831949664487,166.22991570040742,BELOW_TARGET,P1,REDUCE,ROAS materially trails the governed channel target.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000010,Regional Expansion 2025,paid_social,139530.01,7914.52,0.0567227078963156,63.94592575618699,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000031,Brand Search 2024,paid_social,85892.43,3625.63,0.0422112868386655,77.1027199281867,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000017,Product Launch 2024,paid_social,174841.23,0.0,0.0,75.29768733850129,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000060,Regional Expansion 2025,organic,152076.21,4138.78,0.0272151706042647,67.05300264550264,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000020,Regional Expansion 2025,paid_social,174118.3,0.0,0.0,74.06137813696299,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000013,Retargeting 2024,paid_search,113094.35,16963.519999999997,0.1499944073245038,48.3309188034188,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,,,,7592315.53,184509.87500000003,0.0243021874250265,71.93916437681214,,,DATA_QUALITY_HOLD,P0,DATA QUALITY HOLD,Campaign identifier is missing; withhold budget action until mapping is corrected.,ROAS,HOLD,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000078,Enterprise ABM 2025,paid_search,90737.19,13396.68,0.1476426589802924,77.22314042553192,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000062,Competitor Search 2025,paid_social,123759.13,2796.1425,0.0225934240164745,80.8354866100588,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000016,Creator Spark 2025,paid_search,114692.67,0.0,0.0,79.48209979209979,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000005,Holiday Promo 2024,paid_search,141069.06,0.0,0.0,56.722581423401685,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000035,Holiday Promo 2024,paid_social,219063.64,10240.18,0.0467452289206917,85.17248833592535,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000048,Enterprise ABM 2025,paid_social,146274.73,0.0,0.0,112.8663040123457,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000018,Enterprise ABM 2025,paid_social,151789.12,6020.72,0.039665030010056,81.56320257925846,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000043,Retargeting 2024,paid_social,126960.23,29312.31,0.2308778898714975,66.92684765419082,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000065,Holiday Promo 2024,paid_social,118089.03,3034.04,0.0256928183761014,79.25438255033556,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000025,Holiday Promo 2024,paid_social,203360.53,0.0,0.0,105.64183376623376,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000075,Holiday Promo 2024,paid_social,110362.23,2906.29,0.0263340999905493,77.44717894736841,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000008,Enterprise ABM 2025,paid_search,246226.83,0.0,0.0,82.46042531815137,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000044,Lifecycle Winback 2025,organic,123254.75,0.0,0.0,67.46291735084839,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000022,Competitor Search 2025,organic,113626.13,0.0,0.0,69.966828817734,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000014,Lifecycle Winback 2025,paid_social,95488.61,15540.3,0.1627450645684338,45.42750237868697,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000064,Lifecycle Winback 2025,paid_social,172370.72,5112.02,0.0296571250616113,110.21145780051152,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000041,Brand Search 2024,paid_search,108693.13,0.0,0.0,59.33031113537118,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000077,Product Launch 2024,organic,86618.13,0.0,0.0,106.93596296296298,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
2025-01-01,CMP-000034,Lifecycle Winback 2025,organic,139486.72,0.0,0.0,63.60543547651619,,,TARGET_REVIEW_REQUIRED,P3,REVIEW TARGET,No governed target matched this channel and month.,ROAS,PASS,roas,2026-08-17 19:55:30.450465-07:00
