event_date,source,medium,campaign_id,campaign,device_category,sessions,page_views,item_views,add_to_carts,checkouts,leads,purchases,purchase_revenue
2025-01-27,google,cpc,CMP-000049,Enterprise ABM US 2024,desktop,0,1,0,0,0,0,0,0.0
2025-01-09,tiktok,paid_social,CMP-000033,COMPETITOR SEARCH NA 2025,mobile,0,1,0,0,0,0,0,0.0
2025-01-13,newsletter,email,CMP-000082,RETARGETING NA 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-08,tiktok,paid_social,CMP-000040, Holiday Promo Global 2025  ,desktop,0,0,0,0,1,0,0,0.0
2025-01-16,google,cpc,CMP-000080,Retargeting Global Q4,mobile,0,0,0,0,0,1,0,0.0
2025-01-29,facebook,paid_social,,Enterprise ABM APAC 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-30,google,cpc,,Regional Expansion APAC Q4,mobile,0,1,0,0,0,0,0,0.0
2025-01-04,facebook,paid_social,CMP-000057,Cart Recovery US 2024,mobile,0,1,0,0,0,0,0,0.0
2025-01-20,facebook,paid_social,,brand_search_emea_q4,desktop,0,1,0,0,0,0,0,0.0
2025-01-19,google,cpc,,Creator Spark APAC FY25,tablet,1,0,0,0,0,0,0,0.0
2025-01-04,partner,referral,CMP-000079, Competitor Search EMEA FY25  ,mobile,0,0,1,0,0,0,0,0.0
2025-01-30,newsletter,email,CMP-000004, Creator Spark US 2025  ,tablet,0,0,0,0,0,1,0,0.0
2025-01-05,tiktok,paid_social,CMP-000014,Retargeting US Q4,desktop,1,0,0,0,0,0,0,0.0
2025-01-23,tiktok,paid_social,CMP-000052,LIFECYCLE WINBACK US 2025,tablet,1,0,0,0,0,0,0,0.0
2025-01-10,google,cpc,CMP-000028,lifecycle_winback_emea_fy25,desktop,0,1,0,0,0,0,0,0.0
2025-01-10,google,cpc,CMP-000081,Enterprise ABM Global 2024,mobile,0,0,0,0,1,0,0,0.0
2025-01-29,(direct),(none),CMP-000040,holiday_promo_emea_2024,desktop,0,0,1,0,0,0,0,0.0
