reporting_month,channel_key,channel_name,current_spend,prior_spend,spend_absolute_variance,spend_percentage_variance,current_impressions,prior_impressions,current_clicks,prior_clicks,current_ctr,prior_ctr,current_cpc,prior_cpc,current_conversions,prior_conversions,current_revenue,prior_revenue,current_aov,prior_aov,current_cac,prior_cac,cac_absolute_variance,cac_percentage_variance,current_roas,prior_roas,roas_absolute_variance,roas_percentage_variance,primary_driver,secondary_driver,severity,recommended_investigation
2025-01-01,,,0.0,,,,0.0,,0.0,,,,,,75.0,,260445.15,,3472.602,,0.0,,,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-02-01,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,131.0,75.0,440083.63,260445.15,3359.417022900763,3472.602,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-03-01,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,132.0,131.0,446457.51,440083.63,3382.253863636364,3359.417022900763,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-04-01,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,71.0,132.0,216331.63,446457.51,3046.924366197183,3382.253863636364,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-01-01,organic,,0.0,,,,0.0,,0.0,,,,,,2.0,,6169.86,,3084.93,,0.0,,,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-02-01,organic,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,8.0,2.0,43106.69,6169.86,5388.33625,3084.93,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-03-01,organic,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,12.0,8.0,28319.65,43106.69,2359.9708333333333,5388.33625,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-04-01,organic,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,5.0,12.0,19838.58,28319.65,3967.716,2359.9708333333333,0.0,0.0,0.0,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-01-01,referral,,0.0,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
2025-01-01,email,,0.0,,,,0.0,,0.0,,,,,,4.0,,13868.77,,3467.1925,,0.0,,,,,,,,NO_PRIOR_PERIOD,NO_PRIOR_PERIOD,INFO,Collect another complete period before interpreting change.
