source_system,batch_id,target_month,region,channel,target_spend,target_revenue,target_leads,target_conversions,budget_owner,ingestion_available_at,reporting_month,normalized_channel,actual_spend,actual_revenue,actual_leads,spend_attainment,revenue_attainment,lead_attainment,channel_name
marketing_targets,batch_20260818T025519Z,2025-01-01,,paid_search,332542.12,648584.94,10405,873,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_search,3344108.93,0.0,341.0,10.056196580451225,0.0,0.0327727054300816,Paid Search
marketing_targets,batch_20260818T025519Z,2025-01-01,,paid_social,38353.05,817698.01,5061,2372,regional_marketing,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_social,8093259.91,0.0,389.0,211.0199817224445,0.0,0.0768622801817822,Paid Social
marketing_targets,batch_20260818T025519Z,2025-01-01,,email,355728.72,170243.22,13209,1502,growth,2026-08-18T02:55:19.833522+00:00,2025-01-01,email,0.0,0.0,169.0,0.0,0.0,0.0127943069119539,Email
marketing_targets,batch_20260818T025519Z,2025-01-01,,organic,214820.01,563501.79,278,2304,regional_marketing,2026-08-18T02:55:19.833522+00:00,2025-01-01,organic,0.0,0.0,148.0,0.0,0.0,0.5323741007194245,Organic
marketing_targets,batch_20260818T025519Z,2025-01-01,,direct,214076.84,262481.47,11649,1597,regional_marketing,2026-08-18T02:55:19.833522+00:00,2025-01-01,direct,0.0,0.0,122.0,0.0,0.0,0.0104730019744184,Direct
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,paid_search,308435.93,969282.68,11080,2389,growth,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_search,3344108.93,0.0,341.0,10.842151010097949,0.0,0.0307761732851985,Paid Search
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,paid_social,141660.68,1015979.28,8711,1171,growth,2026-08-18T02:55:19.833522+00:00,2025-01-01,paid_social,8093259.91,0.0,389.0,57.131307784206605,0.0,0.044656181839054,Paid Social
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,email,177440.1,392918.9,1561,2048,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,email,0.0,0.0,169.0,0.0,0.0,0.108263933376041,Email
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,organic,104745.07,1197500.33,885,1956,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,organic,0.0,0.0,148.0,0.0,0.0,0.1672316384180791,Organic
marketing_targets,batch_20260818T025519Z,2025-01-01,LATAM,direct,131592.29,736403.35,5633,1657,finance,2026-08-18T02:55:19.833522+00:00,2025-01-01,direct,0.0,0.0,122.0,0.0,0.0,0.0216580862772945,Direct
