reporting_month,normalized_channel,comparison_type,source_metric,warehouse_metric,source_value,warehouse_value,variance_value,variance_rate,reconciliation_status
2025-01-01,direct,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,0.0,0.0,0.0,reconciled
2025-01-01,email,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,0.0,0.0,0.0,reconciled
2025-01-01,organic,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,0.0,0.0,0.0,reconciled
2025-01-01,paid_search,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,48723.0,0.0,48723.0,0.0,reconciled
2025-01-01,paid_social,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,107465.0,0.0,107465.0,0.0,reconciled
2025-01-01,referral,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,0.0,0.0,0.0,reconciled
2025-01-01,unknown,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,120.0,-120.0,-1.0,explain_variance
2025-02-01,unknown,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,196.0,-196.0,-1.0,explain_variance
2025-03-01,unknown,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,191.0,-191.0,-1.0,explain_variance
2025-04-01,unknown,platform_vs_sales_conversions,platform_conversions,closed_won_conversions,0.0,93.0,-93.0,-1.0,explain_variance
2025-01-01,all,first_touch_revenue_vs_booked,attributed_revenue,booked_revenue,373097.57139999996,396912.31,-23814.73860000004,-0.0600000000000001,reconciled
2025-02-01,all,first_touch_revenue_vs_booked,attributed_revenue,booked_revenue,610219.3582,649169.53,-38950.17180000001,-0.06000000000000001,reconciled
2025-03-01,all,first_touch_revenue_vs_booked,attributed_revenue,booked_revenue,631238.2282,671530.03,-40291.801800000016,-0.06000000000000002,reconciled
2025-04-01,all,first_touch_revenue_vs_booked,attributed_revenue,booked_revenue,334577.13279999996,355933.12,-21355.987200000032,-0.060000000000000095,reconciled
2025-01-01,all,last_touch_revenue_vs_booked,attributed_revenue,booked_revenue,428665.29480000003,396912.31,31752.984800000035,0.08000000000000008,reconciled
2025-02-01,all,last_touch_revenue_vs_booked,attributed_revenue,booked_revenue,701103.0924000001,649169.53,51933.56240000005,0.08000000000000008,reconciled
2025-03-01,all,last_touch_revenue_vs_booked,attributed_revenue,booked_revenue,725252.4324,671530.03,53722.40240000002,0.08000000000000003,reconciled
2025-04-01,all,last_touch_revenue_vs_booked,attributed_revenue,booked_revenue,384407.7696,355933.12,28474.649600000004,0.08000000000000002,reconciled
2025-01-01,all,linear_revenue_vs_booked,attributed_revenue,booked_revenue,396912.31,396912.31,0.0,0.0,reconciled
2025-02-01,all,linear_revenue_vs_booked,attributed_revenue,booked_revenue,649169.53,649169.53,0.0,0.0,reconciled
2025-03-01,all,linear_revenue_vs_booked,attributed_revenue,booked_revenue,671530.03,671530.03,0.0,0.0,reconciled
2025-04-01,all,linear_revenue_vs_booked,attributed_revenue,booked_revenue,355933.12,355933.12,0.0,0.0,reconciled
2025-01-01,all,u_shaped_revenue_vs_booked,attributed_revenue,booked_revenue,217939.45368,396912.31,-178972.85632,-0.45091283845542607,model_variance
2025-02-01,all,u_shaped_revenue_vs_booked,attributed_revenue,booked_revenue,369072.69464,649169.53,-280096.83536,-0.43146947355954923,model_variance
2025-03-01,all,u_shaped_revenue_vs_booked,attributed_revenue,booked_revenue,394415.51656,671530.03,-277114.51344,-0.41266138677372327,model_variance
2025-04-01,all,u_shaped_revenue_vs_booked,attributed_revenue,booked_revenue,213775.74816000002,355933.12,-142157.37183999998,-0.399393492350473,model_variance
2025-01-01,all,time_decay_revenue_vs_booked,attributed_revenue,booked_revenue,468280.39997778967,396912.31,71368.08997778967,0.1798082049352152,model_variance
2025-02-01,all,time_decay_revenue_vs_booked,attributed_revenue,booked_revenue,731234.1112296638,649169.53,82064.5812296638,0.1264147151664124,model_variance
2025-03-01,all,time_decay_revenue_vs_booked,attributed_revenue,booked_revenue,727649.3726975106,671530.03,56119.34269751061,0.08356937171895441,reconciled
2025-04-01,all,time_decay_revenue_vs_booked,attributed_revenue,booked_revenue,415431.2391453306,355933.12,59498.119145330624,0.16716095188143948,model_variance
2025-01-01,all,position_based_revenue_vs_booked,attributed_revenue,booked_revenue,187224.81378,396912.31,-209687.49622,-0.5282967822791891,model_variance
2025-02-01,all,position_based_revenue_vs_booked,attributed_revenue,booked_revenue,322678.33314,649169.53,-326491.19686,-0.5029367241866697,model_variance
2025-03-01,all,position_based_revenue_vs_booked,attributed_revenue,booked_revenue,349956.47976,671530.03,-321573.55024,-0.47886696927016054,model_variance
2025-04-01,all,position_based_revenue_vs_booked,attributed_revenue,booked_revenue,190620.12756,355933.12,-165312.99244,-0.46444959221552634,model_variance
