reporting_month,attributed_conversions,weighted_conversions,attributed_revenue,attribution_model
2025-01-01,120,120.0,373097.57139999996,first_touch
2025-02-01,196,196.0,610219.3582,first_touch
2025-03-01,191,191.0,631238.2282,first_touch
2025-04-01,93,93.0,334577.13279999996,first_touch
2025-01-01,120,120.0,428665.29480000003,last_touch
2025-02-01,196,196.0,701103.0924000001,last_touch
2025-03-01,191,191.0,725252.4324,last_touch
2025-04-01,93,93.0,384407.7696,last_touch
2025-01-01,120,120.0,396912.31,linear
2025-02-01,196,196.0,649169.53,linear
2025-03-01,191,191.0,671530.03,linear
2025-04-01,93,93.0,355933.12,linear
2025-01-01,120,62.2,217939.45368,u_shaped
2025-02-01,196,101.3,369072.69464,u_shaped
2025-03-01,191,105.3,394415.51656,u_shaped
2025-04-01,93,55.2,213775.74816000002,u_shaped
2025-01-01,120,128.21925208141474,468280.39997778967,time_decay
2025-02-01,196,200.46734766897495,731234.1112296638,time_decay
2025-03-01,191,177.22881905865216,727649.3726975106,time_decay
2025-04-01,93,94.08458119095819,415431.2391453306,time_decay
2025-01-01,120,54.4,187224.81378,position_based
2025-02-01,196,88.6,322678.33314,position_based
2025-03-01,191,94.6,349956.47976,position_based
2025-04-01,93,50.4,190620.12756,position_based
