campaign_id,campaign_name,normalized_channel,spend,impressions,clicks,conversions,attributed_revenue,attributed_roas,waste_budget_flag
CMP-000060,retargeting_us_fy25_social,paid_social,58424.67,210120,14906,700,192500.0,3.2948410320503307,False
CMP-000039,Holiday Promo EMEA FY25 Social,paid_social,52790.39,154240,11376,49,13475.0,0.2552547916391601,True
CMP-000025,Holiday Promotion APAC 2025 Social,paid_social,47751.03,171640,8840,364,100100.0,2.096289860134954,False
CMP-000035,Enterprise ABM APAC FY25 Social,paid_social,45012.15,56989,9164,789,216975.0,4.820365168071287,False
CMP-000036,LIFECYCLE WINBACK APAC Q4 SOCIAL,paid_social,39021.4,125512,13800,165,45375.0,1.1628234763488752,False
CMP-000077,Regional Expansion EMEA FY25 Social,paid_social,36252.24,121590,10618,32,8800.0,0.2427436208079832,True
CMP-000050,Enterprise ABM US FY25 Social,paid_social,33267.01,114408,7772,126,34650.0,1.0415724166373834,False
CMP-000039,COMPETITOR SEARCH EMEA Q4 SOCIAL,paid_social,31888.11,97884,8462,397,109175.0,3.423689895700937,False
CMP-000052,Regional Expansion NA 2024 Social,paid_social,31648.25,198686,7652,176,48400.0,1.529310467403411,False
CMP-000047,Competitor SEM EMEA FY25 Social,paid_social,31467.69,133259,6842,7,1925.0,0.061173858011185446,True
CMP-000002,lifecycle_winback_emea_fy25_social,paid_social,31370.02,195255,10836,227,62425.0,1.989957290432075,False
CMP-000021,enterprise_abm_na_2024_social,paid_social,30504.15,203317,16765,678,186450.0,6.1122830827936525,False
CMP-000050,Product Launch Global FY25 Social,paid_social,29481.82,144371,12276,450,123750.0,4.197502053808075,False
CMP-000006,ENTERPRISE ABM APAC FY25 SOCIAL,paid_social,29456.99,124862,10443,234,64350.0,2.1845409188107814,False
CMP-000071,COMPETITOR SEARCH EMEA FY25 SOCIAL,paid_social,28770.34,120269,12381,627,172425.0,5.99315128010305,False
CMP-000008,CREATOR SPARK EMEA 2024 SOCIAL,paid_social,28646.56,75702,12984,464,127600.0,4.45428700688669,False
CMP-000030,LIFECYCLE WINBACK NA Q4 SOCIAL,paid_social,28589.51,89184,5175,43,11825.0,0.41361324485799167,True
CMP-000076,product_launch_global_q4_social,paid_social,27849.9,150930,7486,4,1100.0,0.03949744882387369,True
CMP-000071,Lifecycle Winback Global 2025 Social,paid_social,27621.86,150855,11128,72,19800.0,0.716823559311357,True
CMP-000017,Lifecycle Winback Global 2024 Social,paid_social,27577.89,196386,13233,138,37950.0,1.3761023776655865,False
CMP-000025,Regional Expansion APAC Q4 Social,paid_social,27499.94,50928,4367,110,30250.0,1.1000024000052364,False
CMP-000064,Cart Recovery US Q4 Social,paid_social,27300.34,135630,6227,155,42625.0,1.561335866146722,False
CMP-000019,Lifecycle Winback US 2024 Social,paid_social,27204.03,192745,8711,266,73150.0,2.6889398372226467,False
CMP-000039,Holiday Promotion APAC 2025 Social,paid_social,27074.76,99115,7833,165,45375.0,1.67591513276572,False
CMP-000068,Lifecycle Winback APAC 2025 Social,paid_social,26709.32,135646,4505,55,15125.0,0.5662817323690756,True
CMP-000046,Regional Expansion EMEA 2024 Social,paid_social,26573.65,128204,23881,1466,403150.0,15.171043496094814,False
CMP-000072,Retargeting US 2024 Social,paid_social,26378.98,142864,8446,204,56100.0,2.1266932989827505,False
CMP-000070,Competitor SEM EMEA 2024 Social,paid_social,26149.96,154913,9296,433,119075.0,4.553544250163289,False
CMP-000071,Cart Recovery NA FY25 Social,paid_social,25080.7,211501,12470,106,29150.0,1.1622482626083004,False
CMP-000050,Enterprise ABM NA 2025 Social,paid_social,24232.29,91383,3935,29,7975.0,0.32910632878692025,True
CMP-000008,Competitor Search EMEA Q4 Social,paid_social,24131.23,99621,6457,23,6325.0,0.262108479343987,True
CMP-000048,creator_spark_emea_fy25_social,paid_social,23777.99,95892,11152,257,70675.0,2.9722865557601796,False
CMP-000053,Enterprise ABM Global 2024 Social,paid_social,23119.879999999997,151826,11559,68,18700.0,0.8088277274795544,True
CMP-000049,holiday_promo_global_q4_social,paid_social,22017.73,131172,7975,246,67650.0,3.0725238251173033,False
CMP-000030,Regional Expansion Global FY25 Social,paid_social,21913.79,169772,5997,81,22275.0,1.0164832281408192,False
CMP-000038,Retargeting US FY25 Social,paid_social,21910.67,32609,3097,0,0.0,0.0,True
CMP-000043,Retargeting Global 2024 Social,paid_social,21599.84,117275,12984,309,84975.0,3.9340569189401404,False
CMP-000041,creator_spark_emea_2025_social,paid_social,21224.21,135036,135046,56,15400.0,0.7255864882603404,True
CMP-000069,Lifecycle Winback EMEA FY25 Social,paid_social,21034.48,160668,3805,11,3025.0,0.1438114942703599,True
CMP-000078,Product Launch EMEA 2024 Social,paid_social,20820.04,159140,14223,298,81950.0,3.936111554060415,False
CMP-000032,Brand SEM Global 2024 Social,paid_social,20689.65,143263,6565,213,58575.0,2.831125707781427,False
CMP-000005,Enterprise ABM APAC 2025 Social,paid_social,20620.46,124519,12338,669,183975.0,8.921963913511144,False
CMP-000018,Cart Recovery APAC 2024 Social,paid_social,20388.04,103559,6510,401,110275.0,5.408808301337451,False
CMP-000056,holiday_promo_global_2024_social,paid_social,20313.54,89839,3287,143,39325.0,1.935900881874848,False
CMP-000068,Enterprise ABM NA FY25 Social,paid_social,20274.54,107595,10056,340,93500.0,4.6116952591772735,False
CMP-000079,Cart Recovery APAC 2024 Social,paid_social,19992.22,120174,7739,264,72600.0,3.6314126195089886,False
CMP-000004,Lifecycle Winback APAC 2025 Social,paid_social,19385.12,176006,9852,100,27500.0,1.418613864654952,False
CMP-000071,enterprise_abm_na_q4_social,paid_social,19369.8,185911,6480,83,22825.0,1.1783807783250215,False
CMP-000073,Cart Recovery US 2025 Social,paid_social,19152.4,111971,3828,53,14575.0,0.7610012322215493,True
CMP-000035,CREATOR SPARK EMEA 2025 SOCIAL,paid_social,18932.17,72883,6595,142,39050.0,2.0626267353399004,False
CMP-000038,Lifecycle Winback NA 2024 Social,paid_social,18608.74,83181,10133,183,50325.0,2.704374396117093,False
CMP-000053,Competitor Search US 2024 Social,paid_social,18545.29,70484,10407,522,143550.0,7.740509854523709,False
CMP-000075,Regional Expansion US Q4 Social,paid_social,18361.25,80486,3485,124,34100.0,1.8571720334944517,False
CMP-000008,creator_spark_na_2025_social,paid_social,18171.29,118495,4226,36,9900.0,0.5448154754010309,True
CMP-000035,Brand Search NA Q4 Social,paid_social,18040.92,72880,1658,9,2475.0,0.13718812566099733,True
CMP-000021,COMPETITOR SEARCH EMEA 2025 SOCIAL,paid_social,17892.54,173988,5857,44,12100.0,0.6762594913857954,True
CMP-000057,Brand Search EMEA Q4 Social,paid_social,17836.1,236202,7480,258,70950.0,3.977887542680295,False
CMP-000025,Holiday Promotion EMEA 2024 Social,paid_social,17833.95,112958,4671,175,48125.0,2.6985048180576934,False
CMP-000072,Holiday Promo Global Q4 Social,paid_social,17799.31,44908,4388,122,33550.0,1.8849045271979643,False
CMP-000072,Lifecycle Winback US 2025 Social,paid_social,17538.14,195270,13056,236,64900.0,3.7005064391092786,False
CMP-000029,Brand Search EMEA Q4 Social,paid_social,17376.24,160858,7415,879,241725.0,13.911237413847873,False
CMP-000015,Regional Expansion Global 2025 Social,paid_social,17293.61,189288,7791,75,20625.0,1.1926370491759672,False
CMP-000055,Regional Expansion APAC 2024,paid_search,17051.33,27520,2137,93,25575.0,1.4998830003290065,False
CMP-000011,Retargeting APAC 2025 Social,paid_social,16810.66,65809,4627,147,40425.0,2.4047241452744865,False
