normalized_channel,product,conversion_lag_bucket,conversions,booked_revenue,gross_margin,avg_conversion_lag_days,revenue_per_conversion
unknown,Commerce Pro,0-7 days,6,29015.6,19165.7,4.166666666666667,4835.933333333333
unknown,Commerce Pro,8-14 days,7,16191.86,11292.37,10.571428571428571,2313.1228571428574
unknown,Commerce Pro,15-30 days,16,46395.32,29457.99,20.125,2899.7075
unknown,Commerce Pro,31-60 days,33,114509.69,75570.32,44.0,3469.9906060606063
unknown,Commerce Pro,61-120 days,28,94179.65,61522.59,77.03571428571429,3363.558928571428
unknown,Enterprise,0-7 days,10,34015.37,23958.21,3.8,3401.5370000000003
unknown,Enterprise,8-14 days,3,8400.04,5956.5199999999995,10.666666666666666,2800.013333333334
unknown,Enterprise,15-30 days,17,45556.96,30368.68,24.58823529411765,2679.8211764705884
unknown,Enterprise,31-60 days,40,139840.5,95835.7,43.225,3496.0125
unknown,Enterprise,61-120 days,38,154948.42,102522.37,75.65789473684211,4077.59
unknown,Growth,0-7 days,17,47572.14,33014.52,2.9411764705882355,2798.3611764705884
unknown,Growth,8-14 days,17,65028.6,42957.04,11.176470588235293,3825.211764705882
unknown,Growth,15-30 days,34,133075.17,89864.21,21.323529411764707,3913.9755882352947
unknown,Growth,31-60 days,58,207253.48,138517.6,45.94827586206897,3573.3358620689655
unknown,Growth,61-120 days,49,212502.66,140998.5,75.61224489795919,4336.788979591837
unknown,Marketing Suite,0-7 days,9,25629.47,18775.980000000003,3.7777777777777777,2847.718888888889
unknown,Marketing Suite,8-14 days,4,9990.71,6182.26,12.5,2497.6775
unknown,Marketing Suite,15-30 days,16,43246.29,29327.22,21.6875,2702.893125
unknown,Marketing Suite,31-60 days,21,55533.68,35866.52,45.095238095238095,2644.460952380952
unknown,Marketing Suite,61-120 days,16,49969.75,34947.13,74.875,3123.109375
unknown,Starter,0-7 days,13,47244.59,32728.69,3.1538461538461537,3634.1992307692303
unknown,Starter,8-14 days,12,30428.76,18846.010000000002,11.916666666666666,2535.73
unknown,Starter,15-30 days,29,97672.07,68513.65,21.82758620689655,3368.0024137931036
unknown,Starter,31-60 days,56,182483.89,119820.59,44.964285714285715,3258.640892857143
unknown,Starter,61-120 days,51,182860.32,125587.9,76.54901960784314,3585.4964705882353
