customer_id,purchase_count,lifetime_revenue,lifetime_margin,customer_segment
CUST-0000072717,1,5988.82,4188.54,smb_value
CUST-0000095428,1,2594.01,2102.97,smb_value
CUST-0000100841,1,2378.89,1860.69,smb_value
CUST-0000105338,1,1706.3,1085.96,smb_value
CUST-0000110121,1,2188.06,1243.74,smb_value
CUST-0000110991,1,7183.15,5748.76,smb_value
CUST-0000130346,1,3347.04,2360.98,smb_value
CUST-0000174595,1,5407.92,3581.24,smb_value
CUST-0000201113,1,1833.51,1083.91,smb_value
CUST-0000212094,1,4913.52,4038.51,smb_value
CUST-0000223521,1,3301.69,2273.89,smb_value
CUST-0000236316,1,667.64,525.05,smb_value
CUST-0000259675,1,3637.95,1818.77,smb_value
CUST-0000312720,1,1180.58,688.99,smb_value
CUST-0000354064,1,4973.18,2517.67,smb_value
CUST-0000354456,1,2094.66,1229.92,smb_value
CUST-0000380901,1,1549.34,827.17,smb_value
CUST-0000389337,1,1653.6,1243.81,smb_value
CUST-0000401883,1,2507.7,2059.37,smb_value
CUST-0000412236,1,9240.32,7109.78,mid_market_value
CUST-0000413624,1,5769.45,4106.62,smb_value
CUST-0000415675,1,832.61,582.27,smb_value
CUST-0000416734,1,7465.69,6200.04,smb_value
CUST-0000423904,1,3167.6,1869.68,smb_value
CUST-0000425932,1,1351.58,701.22,smb_value
CUST-0000429306,1,1195.03,883.05,smb_value
CUST-0000448494,1,6343.41,5148.97,smb_value
CUST-0000492723,1,1216.59,631.67,smb_value
CUST-0000498905,1,1409.19,997.82,smb_value
CUST-0000545264,1,7974.3,4981.93,smb_value
CUST-0000599431,1,5428.46,4298.55,smb_value
CUST-0000603312,1,1800.97,1530.01,smb_value
CUST-0000624273,1,1803.83,1054.67,smb_value
CUST-0000653216,1,2151.89,1087.03,smb_value
CUST-0000674180,1,2552.69,1944.76,smb_value
CUST-0000688402,1,754.75,450.49,smb_value
CUST-0000693908,1,4260.93,3148.79,smb_value
CUST-0000694772,1,2119.26,1287.75,smb_value
CUST-0000705493,1,1480.89,1249.25,smb_value
CUST-0000709003,1,2623.51,1715.76,smb_value
CUST-0000710158,1,1489.41,724.34,smb_value
CUST-0000710910,1,6903.13,5700.01,smb_value
CUST-0000720070,1,1446.7,960.21,smb_value
CUST-0000739836,1,1466.4,1242.8,smb_value
CUST-0000743401,1,3482.51,1721.44,smb_value
CUST-0000745817,1,4327.21,2604.16,smb_value
CUST-0000764641,1,3096.34,1857.4,smb_value
CUST-0000788285,1,3383.15,2418.11,smb_value
CUST-0000809861,1,471.57,369.7,smb_value
CUST-0000850910,1,10427.95,6945.1,mid_market_value
CUST-0000861463,1,4986.35,2838.71,smb_value
CUST-0000892736,1,1652.23,937.28,smb_value
CUST-0000915314,1,1184.79,724.34,smb_value
CUST-0000976243,1,1657.27,1174.59,smb_value
CUST-0000995135,1,7753.88,4966.51,smb_value
CUST-0001020720,1,2145.09,1442.57,smb_value
CUST-0001026780,1,4416.38,2655.7,smb_value
CUST-0001039120,1,4116.02,2974.98,smb_value
CUST-0001040408,1,6922.69,3865.72,smb_value
