source_system,file,report,row_count,status,issue_count,rejected_count,rejected_rate,monitoring_status
campaign_mapping,data/lake/raw/source_system=campaign_mapping/load_date=2026-08-18/batch_id=batch_20260818T025519Z/campaign_mapping_part_00000.csv,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/campaign_mapping_part_00000.json,500,passed,0,0,0.0,healthy
crm_leads,data/lake/raw/source_system=crm_leads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/crm_leads_part_00000.csv,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/crm_leads_part_00000.json,1000,passed,1,0,0.0,healthy
crm_leads,data/lake/raw/source_system=crm_leads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/crm_leads_part_00001.csv,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/crm_leads_part_00001.json,300,passed,1,0,0.0,healthy
facebook_ads,data/lake/raw/source_system=facebook_ads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/facebook_ads_part_00000.csv,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/facebook_ads_part_00000.json,1004,failed,4,7,0.0069721115537848604,healthy
facebook_ads,data/lake/raw/source_system=facebook_ads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/facebook_ads_part_00001.csv,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/facebook_ads_part_00001.json,803,failed,4,9,0.0112079701120797,healthy
ga4_events,data/lake/raw/source_system=ga4_events/load_date=2026-08-18/batch_id=batch_20260818T025519Z/ga4_events_part_00000.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/ga4_events_part_00000.json,1000,passed,2,0,0.0,healthy
ga4_events,data/lake/raw/source_system=ga4_events/load_date=2026-08-18/batch_id=batch_20260818T025519Z/ga4_events_part_00001.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/ga4_events_part_00001.json,1000,passed,2,0,0.0,healthy
ga4_events,data/lake/raw/source_system=ga4_events/load_date=2026-08-18/batch_id=batch_20260818T025519Z/ga4_events_part_00002.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/ga4_events_part_00002.json,1000,passed,2,0,0.0,healthy
ga4_events,data/lake/raw/source_system=ga4_events/load_date=2026-08-18/batch_id=batch_20260818T025519Z/ga4_events_part_00003.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/ga4_events_part_00003.json,1000,passed,2,0,0.0,healthy
google_ads,data/lake/raw/source_system=google_ads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/google_ads_part_00000.jsonl,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/google_ads_part_00000.json,1004,failed,4,8,0.00796812749003984,healthy
google_ads,data/lake/raw/source_system=google_ads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/google_ads_part_00001.jsonl,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/google_ads_part_00001.json,1004,failed,4,10,0.0099601593625498,healthy
google_ads,data/lake/raw/source_system=google_ads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/google_ads_part_00002.jsonl,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/google_ads_part_00002.json,502,failed,4,5,0.0099601593625498,healthy
marketing_targets,data/lake/raw/source_system=marketing_targets/load_date=2026-08-18/batch_id=batch_20260818T025519Z/marketing_targets_part_00000.csv,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/marketing_targets_part_00000.json,120,passed,0,0,0.0,healthy
region_mapping,data/lake/raw/source_system=region_mapping/load_date=2026-08-18/batch_id=batch_20260818T025519Z/region_mapping_part_00000.csv,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/region_mapping_part_00000.json,10,passed,0,0,0.0,healthy
sales_conversions,data/lake/raw/source_system=sales_conversions/load_date=2026-08-18/batch_id=batch_20260818T025519Z/sales_conversions_part_00000.jsonl,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/sales_conversions_part_00000.json,600,passed,2,0,0.0,healthy
tiktok_ads,data/lake/raw/source_system=tiktok_ads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/tiktok_ads_part_00000.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/tiktok_ads_part_00000.json,1004,failed,4,3,0.00298804780876494,healthy
tiktok_ads,data/lake/raw/source_system=tiktok_ads/load_date=2026-08-18/batch_id=batch_20260818T025519Z/tiktok_ads_part_00001.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/tiktok_ads_part_00001.json,201,failed,3,1,0.004975124378109453,healthy
website_analytics,data/lake/raw/source_system=website_analytics/load_date=2026-08-18/batch_id=batch_20260818T025519Z/website_analytics_part_00000.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/website_analytics_part_00000.json,1000,passed,2,0,0.0,healthy
website_analytics,data/lake/raw/source_system=website_analytics/load_date=2026-08-18/batch_id=batch_20260818T025519Z/website_analytics_part_00001.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/website_analytics_part_00001.json,1000,passed,2,0,0.0,healthy
website_analytics,data/lake/raw/source_system=website_analytics/load_date=2026-08-18/batch_id=batch_20260818T025519Z/website_analytics_part_00002.parquet,data/quality_reports/validation_reports/batch_id=quality_smoke_20260818T025523Z/website_analytics_part_00002.json,1000,passed,2,0,0.0,healthy
