forecast_month,normalized_channel,forecast_horizon_months,forecast_method,forecast_spend,spend_low,spend_high,forecast_booked_revenue,booked_revenue_low,booked_revenue_high,forecast_gross_margin,gross_margin_low,gross_margin_high,forecast_leads,leads_low,leads_high,forecast_closed_won_conversions,closed_won_conversions_low,closed_won_conversions_high,forecast_roas,forecast_cac,forecast_margin_rate,forecast_confidence
2025-02-01,direct,1,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,106.14,137.86,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-03-01,direct,2,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,102.48,141.52,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-04-01,direct,3,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,98.82000000000001,145.18,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-02-01,email,1,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,147.03,190.97000000000003,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-03-01,email,2,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,141.96,196.04000000000002,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-04-01,email,3,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,136.89000000000001,201.11000000000004,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-02-01,organic,1,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,128.76,167.24,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-03-01,organic,2,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,124.32000000000001,171.68,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-04-01,organic,3,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,119.88000000000001,176.12000000000003,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-02-01,paid_search,1,rolling_3_month_trend,3344108.93,2909374.7691,3778843.0909000007,0.0,0.0,0.0,0.0,0.0,0.0,341.0,296.67,385.33000000000004,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-03-01,paid_search,2,rolling_3_month_trend,3344108.93,2809051.5012000003,3879166.3588000005,0.0,0.0,0.0,0.0,0.0,0.0,341.0,286.44000000000005,395.56000000000006,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-04-01,paid_search,3,rolling_3_month_trend,3344108.93,2708728.2333000004,3979489.626700001,0.0,0.0,0.0,0.0,0.0,0.0,341.0,276.21000000000004,405.7900000000001,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-02-01,paid_social,1,rolling_3_month_trend,8093259.91,7041136.1217,9145383.6983,0.0,0.0,0.0,0.0,0.0,0.0,389.0,338.43,439.57000000000005,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-03-01,paid_social,2,rolling_3_month_trend,8093259.91,6798338.324400001,9388181.495600002,0.0,0.0,0.0,0.0,0.0,0.0,389.0,326.76000000000005,451.24000000000007,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-04-01,paid_social,3,rolling_3_month_trend,8093259.91,6555540.5271000005,9630979.292900002,0.0,0.0,0.0,0.0,0.0,0.0,389.0,315.09000000000003,462.9100000000001,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-02-01,referral,1,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,74.82,97.18,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-03-01,referral,2,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,72.24000000000001,99.76000000000002,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-04-01,referral,3,rolling_3_month_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,69.66000000000001,102.34000000000002,0.0,0.0,0.0,0.0,0.0,0.0,low
2025-05-01,unknown,1,rolling_3_month_trend,0.0,0.0,0.0,463575.72675000003,403310.8822725,523840.5712275001,311880.8568333333,271336.345445,352425.36822166666,0.0,0.0,0.0,126.525,110.07675,142.97325,0.0,0.0,0.6727721898207288,medium
2025-06-01,unknown,2,rolling_3_month_trend,0.0,0.0,0.0,368273.8935,309350.07054000004,427197.7164600001,249956.26033333334,209963.25868000003,289949.2619866667,0.0,0.0,0.0,93.05,78.162,107.93800000000002,0.0,0.0,0.6787238105796748,medium
2025-07-01,unknown,3,rolling_3_month_trend,0.0,0.0,0.0,272972.06025000004,221107.36880250004,324836.7516975001,188031.66383333332,152305.647705,223757.6799616667,0.0,0.0,0.0,59.575,48.255750000000006,70.89425000000001,0.0,0.0,0.6888311707107515,medium
