region,normalized_channel,spend,impressions,clicks,platform_conversions,sessions,page_views,bounce_rate,leads,qualified_leads,closed_won_conversions,booked_revenue,gross_margin,roas,cac,session_to_lead_rate,lead_to_close_rate,margin_rate,market_status
APAC,direct,0.0,0.0,0.0,0.0,74.0,300.0,0.35135135135135137,32.0,19.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243246,0.0,0.0,watch
APAC,email,0.0,0.0,0.0,0.0,107.0,463.0,0.3644859813084112,45.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4205607476635514,0.0,0.0,watch
APAC,organic,0.0,0.0,0.0,0.0,96.0,424.0,0.28125,42.0,18.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,watch
APAC,paid_search,494747.63,3251880.0,171669.0,6985.0,264.0,1098.0,0.3181818181818182,87.0,31.0,0.0,0.0,0.0,0.0,0.0,0.32954545454545453,0.0,0.0,profitability_risk
APAC,paid_social,2660626.09,53430292.0,1562848.0,36745.0,302.0,1229.0,0.33774834437086093,88.0,38.0,0.0,0.0,0.0,0.0,0.0,0.2913907284768212,0.0,0.0,profitability_risk
APAC,referral,0.0,0.0,0.0,0.0,35.0,151.0,0.37142857142857144,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,watch
APAC,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
EMEA,direct,0.0,0.0,0.0,0.0,69.0,291.0,0.14492753623188406,33.0,14.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.0,0.0,watch
EMEA,email,0.0,0.0,0.0,0.0,103.0,418.0,0.4368932038834951,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.33980582524271846,0.0,0.0,watch
EMEA,organic,0.0,0.0,0.0,0.0,88.0,351.0,0.42045454545454547,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3522727272727273,0.0,0.0,watch
EMEA,paid_search,886546.17,5818119.0,319909.0,13315.0,239.0,1017.0,0.35564853556485354,86.0,50.0,0.0,0.0,0.0,0.0,0.0,0.3598326359832636,0.0,0.0,profitability_risk
EMEA,paid_social,2342126.11,49903603.0,1382004.0,29976.0,320.0,1285.0,0.375,98.0,49.0,0.0,0.0,0.0,0.0,0.0,0.30625,0.0,0.0,profitability_risk
EMEA,referral,0.0,0.0,0.0,0.0,45.0,184.0,0.28888888888888886,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5777777777777777,0.0,0.0,watch
EMEA,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
LATAM,direct,0.0,0.0,0.0,0.0,48.0,202.0,0.3541666666666667,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,watch
LATAM,email,0.0,0.0,0.0,0.0,83.0,345.0,0.3614457831325301,46.0,19.0,0.0,0.0,0.0,0.0,0.0,0.5542168674698795,0.0,0.0,watch
LATAM,organic,0.0,0.0,0.0,0.0,74.0,280.0,0.3783783783783784,38.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5135135135135135,0.0,0.0,watch
LATAM,paid_search,424602.38,2896658.0,154678.0,5922.0,189.0,849.0,0.30687830687830686,84.0,38.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,profitability_risk
LATAM,paid_social,1669266.51,34969595.0,909553.0,22021.0,212.0,873.0,0.3584905660377358,96.0,50.0,0.0,0.0,0.0,0.0,0.0,0.4528301886792453,0.0,0.0,profitability_risk
LATAM,referral,0.0,0.0,0.0,0.0,32.0,130.0,0.3125,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.59375,0.0,0.0,watch
LATAM,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
NA,direct,0.0,0.0,0.0,0.0,50.0,196.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conversion_risk
NA,email,0.0,0.0,0.0,0.0,74.0,317.0,0.3783783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conversion_risk
NA,organic,0.0,0.0,0.0,0.0,58.0,231.0,0.3275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conversion_risk
NA,paid_search,1538212.75,10550436.0,602799.0,22501.0,186.0,715.0,0.3763440860215054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conversion_risk
NA,paid_social,1421241.2,32500091.0,1206250.0,18723.0,228.0,985.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conversion_risk
NA,referral,0.0,0.0,0.0,0.0,24.0,111.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conversion_risk
Unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,600.0,2073544.99,1391598.27,0.0,0.0,0.0,60.0,0.6711203647430867,watch
Unknown,direct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
Unknown,email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
Unknown,organic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
Unknown,paid_search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
Unknown,paid_social,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
Unknown,referral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watch
