campaign_id,campaign_name,normalized_channel,spend,impressions,clicks,conversions
CMP-000060,retargeting_us_fy25_social,paid_social,58424.67,210120,14906,700
CMP-000039,Holiday Promo EMEA FY25 Social,paid_social,52790.39,154240,11376,49
CMP-000025,Holiday Promotion APAC 2025 Social,paid_social,47751.03,171640,8840,364
CMP-000035,Enterprise ABM APAC FY25 Social,paid_social,45012.15,56989,9164,789
CMP-000036,LIFECYCLE WINBACK APAC Q4 SOCIAL,paid_social,39021.4,125512,13800,165
CMP-000077,Regional Expansion EMEA FY25 Social,paid_social,36252.24,121590,10618,32
CMP-000050,Enterprise ABM US FY25 Social,paid_social,33267.01,114408,7772,126
CMP-000039,COMPETITOR SEARCH EMEA Q4 SOCIAL,paid_social,31888.11,97884,8462,397
CMP-000052,Regional Expansion NA 2024 Social,paid_social,31648.25,198686,7652,176
CMP-000047,Competitor SEM EMEA FY25 Social,paid_social,31467.69,133259,6842,7
CMP-000002,lifecycle_winback_emea_fy25_social,paid_social,31370.02,195255,10836,227
CMP-000021,enterprise_abm_na_2024_social,paid_social,30504.15,203317,16765,678
CMP-000050,Product Launch Global FY25 Social,paid_social,29481.82,144371,12276,450
CMP-000006,ENTERPRISE ABM APAC FY25 SOCIAL,paid_social,29456.99,124862,10443,234
CMP-000071,COMPETITOR SEARCH EMEA FY25 SOCIAL,paid_social,28770.34,120269,12381,627
CMP-000008,CREATOR SPARK EMEA 2024 SOCIAL,paid_social,28646.56,75702,12984,464
CMP-000030,LIFECYCLE WINBACK NA Q4 SOCIAL,paid_social,28589.51,89184,5175,43
CMP-000076,product_launch_global_q4_social,paid_social,27849.9,150930,7486,4
CMP-000071,Lifecycle Winback Global 2025 Social,paid_social,27621.86,150855,11128,72
CMP-000017,Lifecycle Winback Global 2024 Social,paid_social,27577.89,196386,13233,138
CMP-000025,Regional Expansion APAC Q4 Social,paid_social,27499.94,50928,4367,110
CMP-000064,Cart Recovery US Q4 Social,paid_social,27300.34,135630,6227,155
CMP-000019,Lifecycle Winback US 2024 Social,paid_social,27204.03,192745,8711,266
CMP-000039,Holiday Promotion APAC 2025 Social,paid_social,27074.76,99115,7833,165
CMP-000068,Lifecycle Winback APAC 2025 Social,paid_social,26709.32,135646,4505,55
CMP-000046,Regional Expansion EMEA 2024 Social,paid_social,26573.65,128204,23881,1466
CMP-000072,Retargeting US 2024 Social,paid_social,26378.98,142864,8446,204
CMP-000070,Competitor SEM EMEA 2024 Social,paid_social,26149.96,154913,9296,433
CMP-000071,Cart Recovery NA FY25 Social,paid_social,25080.7,211501,12470,106
CMP-000050,Enterprise ABM NA 2025 Social,paid_social,24232.29,91383,3935,29
CMP-000008,Competitor Search EMEA Q4 Social,paid_social,24131.23,99621,6457,23
CMP-000048,creator_spark_emea_fy25_social,paid_social,23777.99,95892,11152,257
CMP-000053,Enterprise ABM Global 2024 Social,paid_social,23119.879999999997,151826,11559,68
CMP-000049,holiday_promo_global_q4_social,paid_social,22017.73,131172,7975,246
CMP-000030,Regional Expansion Global FY25 Social,paid_social,21913.79,169772,5997,81
CMP-000038,Retargeting US FY25 Social,paid_social,21910.67,32609,3097,0
CMP-000043,Retargeting Global 2024 Social,paid_social,21599.84,117275,12984,309
CMP-000041,creator_spark_emea_2025_social,paid_social,21224.21,135036,135046,56
CMP-000069,Lifecycle Winback EMEA FY25 Social,paid_social,21034.48,160668,3805,11
CMP-000078,Product Launch EMEA 2024 Social,paid_social,20820.04,159140,14223,298
CMP-000032,Brand SEM Global 2024 Social,paid_social,20689.65,143263,6565,213
CMP-000005,Enterprise ABM APAC 2025 Social,paid_social,20620.46,124519,12338,669
CMP-000018,Cart Recovery APAC 2024 Social,paid_social,20388.04,103559,6510,401
CMP-000056,holiday_promo_global_2024_social,paid_social,20313.54,89839,3287,143
CMP-000068,Enterprise ABM NA FY25 Social,paid_social,20274.54,107595,10056,340
CMP-000079,Cart Recovery APAC 2024 Social,paid_social,19992.22,120174,7739,264
CMP-000004,Lifecycle Winback APAC 2025 Social,paid_social,19385.12,176006,9852,100
CMP-000071,enterprise_abm_na_q4_social,paid_social,19369.8,185911,6480,83
CMP-000073,Cart Recovery US 2025 Social,paid_social,19152.4,111971,3828,53
CMP-000035,CREATOR SPARK EMEA 2025 SOCIAL,paid_social,18932.17,72883,6595,142
CMP-000038,Lifecycle Winback NA 2024 Social,paid_social,18608.74,83181,10133,183
CMP-000053,Competitor Search US 2024 Social,paid_social,18545.29,70484,10407,522
CMP-000075,Regional Expansion US Q4 Social,paid_social,18361.25,80486,3485,124
CMP-000008,creator_spark_na_2025_social,paid_social,18171.29,118495,4226,36
CMP-000035,Brand Search NA Q4 Social,paid_social,18040.92,72880,1658,9
CMP-000021,COMPETITOR SEARCH EMEA 2025 SOCIAL,paid_social,17892.54,173988,5857,44
CMP-000057,Brand Search EMEA Q4 Social,paid_social,17836.1,236202,7480,258
CMP-000025,Holiday Promotion EMEA 2024 Social,paid_social,17833.95,112958,4671,175
CMP-000072,Holiday Promo Global Q4 Social,paid_social,17799.31,44908,4388,122
CMP-000072,Lifecycle Winback US 2025 Social,paid_social,17538.14,195270,13056,236
CMP-000029,Brand Search EMEA Q4 Social,paid_social,17376.24,160858,7415,879
CMP-000015,Regional Expansion Global 2025 Social,paid_social,17293.61,189288,7791,75
CMP-000055,Regional Expansion APAC 2024,paid_search,17051.33,27520,2137,93
CMP-000011,Retargeting APAC 2025 Social,paid_social,16810.66,65809,4627,147
CMP-000056,enterprise_abm_us_2024_social,paid_social,16782.72,228988,8328,174
CMP-000061,Cart Recovery Global Q4 Social,paid_social,16721.23,74222,5666,206
CMP-000021,competitor_search_emea_q4_social,paid_social,16609.08,140668,6843,95
CMP-000036,Creator Spark APAC FY25 Social,paid_social,16434.05,114095,9017,54
CMP-000008,brand_search_apac_fy25_social,paid_social,16170.73,152584,6001,258
CMP-000008,Brand Search EMEA Q4 Social,paid_social,15880.27,81937,5242,145
CMP-000058,enterprise_abm_apac_q4_social,paid_social,15736.14,173282,6493,15
CMP-000034,retargeting_na_2024_social,paid_social,15668.84,168190,12436,409
CMP-000038,competitor_search_emea_q4,paid_search,15527.11,42346,1940,197
CMP-000067,competitor_search_emea_q4_social,paid_social,15398.9,95827,7295,284
CMP-000005,Lifecycle Winback Global 2024 Social,paid_social,15290.88,115384,7629,315
CMP-000062,Cart Recovery APAC 2024 Social,paid_social,15274.8,88055,9157,15
CMP-000061,Competitor Search Global FY25 Social,paid_social,15215.66,73168,6250,22
CMP-000035,LIFECYCLE WINBACK APAC 2024 SOCIAL,paid_social,15134.75,134540,9636,169
CMP-000008,Product Launch EMEA FY25 Social,paid_social,15129.43,68710,4916,240
CMP-000029,Lifecycle Winback US Q4 Social,paid_social,15076.39,125580,5637,330
CMP-000071,cart_recovery_global_fy25_social,paid_social,14972.94,71070,5625,38
CMP-000032,Regional Expansion Global FY25 Social,paid_social,14971.52,60527,6092,47
CMP-000072,Creator Spark NA 2024 Social,paid_social,14965.65,74326,5349,55
CMP-000018,CREATOR SPARK NA Q4 SOCIAL,paid_social,14953.56,139260,5807,50
CMP-000080,Holiday Promo APAC 2025 Social,paid_social,14860.07,108010,13276,584
CMP-000068,Brand SEM APAC Q4 Social,paid_social,14790.89,122057,12285,150
CMP-000014,lifecycle_winback_emea_2025_social,paid_social,14711.18,65443,4201,234
CMP-000024,Retargeting US 2025 Social,paid_social,14710.41,248363,6264,263
CMP-000027,Enterprise ABM Global Q4 Social,paid_social,14655.6,141565,9578,260
CMP-000005,RETARGETING APAC 2025 SOCIAL,paid_social,14646.83,231865,6855,53
CMP-000074,Cart Recovery Global 2025 Social,paid_social,14602.42,145122,3584,60
CMP-000055,Regional Expansion APAC Q4 Social,paid_social,14186.67,48831,3802,78
CMP-000020,LIFECYCLE WINBACK APAC Q4 SOCIAL,paid_social,14008.52,55680,5046,114
CMP-000044,brand_search_us_fy25_social,paid_social,13998.94,144194,7716,292
CMP-000023,Lifecycle Winback EMEA 2024 Social,paid_social,13964.1,81531,3093,121
CMP-000063,Holiday Promo NA 2024 Social,paid_social,13892.36,116523,3724,51
CMP-000053,Holiday Promo Global Q4 Social,paid_social,13817.28,169818,3849,106
CMP-000031,Brand Search US 2024 Social,paid_social,13795.14,115407,3835,102
CMP-000040,competitor_search_global_q4_social,paid_social,13785.34,96654,4922,37
CMP-000036,Enterprise ABM EMEA 2024 Social,paid_social,13767.42,142793,5654,219
CMP-000040,Retargeting APAC 2024 Social,paid_social,13677.91,97388,12440,71
CMP-000055,Lifecycle Winback NA 2025 Social,paid_social,13662.49,86148,3531,114
CMP-000045,product_launch_global_2025_social,paid_social,13602.65,77793,3672,227
CMP-000022,Holiday Promo APAC 2025 Social,paid_social,13537.02,135555,5186,208
CMP-000015,Brand SEM NA 2024 Social,paid_social,13502.77,65168,4456,476
CMP-000063,Regional Expansion Global FY25 Social,paid_social,13302.17,106058,3384,89
CMP-000083,Brand Search APAC 2025 Social,paid_social,13266.38,59037,3911,53
CMP-000065,Creator Spark Global Q4 Social,paid_social,13256.46,133353,2013,54
CMP-000071,brand_search_us_fy25_social,paid_social,13152.25,174112,4044,277
CMP-000023,lifecycle_winback_emea_2024_social,paid_social,13007.61,114023,7208,127
CMP-000021,Enterprise ABM EMEA 2025 Social,paid_social,12890.21,77024,77034,65
CMP-000027,Brand SEM Global 2025 Social,paid_social,12824.32,83848,7719,78
CMP-000033,Brand Search NA 2025 Social,paid_social,12786.99,162660,9227,387
CMP-000010,product_launch_apac_2024,paid_search,12719.37,13720,2259,61
CMP-000078,Regional Expansion APAC Q4 Social,paid_social,12657.78,140333,6805,273
CMP-000073,Brand SEM US 2024 Social,paid_social,12601.5,39474,3754,54
CMP-000045,Retargeting EMEA Q4 Social,paid_social,12591.6,90205,4303,23
CMP-000074,Product Launch NA FY25 Social,paid_social,12486.3,128110,4532,104
CMP-000040,COMPETITOR SEARCH APAC 2025 SOCIAL,paid_social,12447.42,109625,2443,9
CMP-000049,Lifecycle Winback APAC FY25 Social,paid_social,12384.92,196571,196581,168
CMP-000027,LIFECYCLE WINBACK US 2025 SOCIAL,paid_social,12189.36,73105,3560,2
CMP-000003,Lifecycle Winback Global FY25 Social,paid_social,12063.38,63241,4251,48
CMP-000067,Enterprise ABM NA 2025 Social,paid_social,12005.67,108443,4761,94
CMP-000064,Regional Expansion APAC Q4 Social,paid_social,11985.17,105204,6508,53
CMP-000050,Retargeting NA 2025 Social,paid_social,11949.66,82237,5163,96
CMP-000012,brand_search_global_fy25_social,paid_social,11860.27,152955,12794,100
CMP-000037,Holiday Promo Global 2024 Social,paid_social,11850.2,90300,3878,8
CMP-000042,Brand SEM NA FY25 Social,paid_social,11803.35,115384,6438,56
