reporting_month,normalized_channel,channel_name,spend,booked_revenue,gross_margin,leads,closed_won_conversions,clicks,impressions,roas,cac,gross_margin_rate,spend_share,revenue_share,efficiency_gap
2025-01-01,unknown,Unknown,0.0,361517.51,241855.18,54.0,107.0,0.0,0.0,0.0,0.0,0.6689999054264342,0.0,0.18569850992048423,0.18569850992048423
2025-01-01,direct,Direct,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,email,Email,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,organic,Organic Search,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,referral,Referral,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,paid_search,Paid Search,3344108.93,0.0,0.0,326.0,0.0,1249055.0,22517093.0,0.0,0.0,0.0,0.29238446156467574,0.0,-0.29238446156467574
2025-01-01,paid_social,Paid Social,8093259.91,0.0,0.0,399.0,0.0,5060655.0,170803581.0,0.0,0.0,0.0,0.7076155384353243,0.0,-0.7076155384353243
2025-02-01,unknown,Unknown,0.0,634299.15,421603.13,0.0,188.0,0.0,0.0,0.0,0.0,0.6646755399246554,0.0,0.32581660290487646,0.32581660290487646
2025-03-01,unknown,Unknown,0.0,608692.39,412921.18,0.0,194.0,0.0,0.0,0.0,0.0,0.6783741456008674,0.0,0.3126633335766731,0.3126633335766731
2025-04-01,unknown,Unknown,0.0,339535.39,227855.68,0.0,110.0,0.0,0.0,0.0,0.0,0.671080796614456,0.0,0.17440708746934686,0.17440708746934686
2025-05-01,unknown,Unknown,0.0,2753.68,1414.77,0.0,1.0,0.0,0.0,0.0,0.0,0.5137742947619186,0.0,0.0014144661286194379,0.0014144661286194379
